order_id,product_id,order_date,amount
O1000,P39,2023-03-13,342.4
O1001,P29,2023-12-03,71.63
O1002,P15,2023-08-28,477.12
O1003,P43,2023-04-19,449.01
O1004,P8,2023-08-04,167.4
O1005,P21,2023-11-06,56.89
O1006,P39,2023-11-08,470.05
O1007,P19,2023-02-16,275.47
O1008,P23,2023-10-29,292.72
O1009,P11,2023-09-10,357.78
O1010,P11,2023-02-15,327.13
O1011,P24,2023-05-20,474.75
O1012,P36,2023-07-26,474.91
O1013,P40,2023-12-03,440.24
O1014,P24,2023-06-14,336.38
O1015,P3,2023-03-27,410.43
O1016,P22,2023-01-15,354.73
O1017,P2,2023-12-06,308.02
O1018,P24,2023-02-17,107.83
O1019,P44,2023-06-04,415.04
O1020,P30,2023-03-17,419.29
O1021,P38,2023-01-30,331.67
O1022,P2,2023-12-12,419.19
O1023,P21,2023-06-14,343.17
O1024,P33,2023-02-13,143.01
O1025,P12,2023-08-03,173.28
O1026,P22,2023-12-29,146.57
O1027,P44,2023-10-19,219.77
O1028,P25,2023-05-11,67.53
O1029,P49,2023-02-02,328.21
O1030,P27,2023-03-04,201.45
O1031,P42,2023-10-21,345.08
O1032,P28,2023-08-29,223.43
O1033,P16,2023-05-03,356.73
O1034,P15,2023-04-06,203.28
O1035,P47,2023-04-17,167.31
O1036,P44,2023-02-08,273.22
O1037,P3,2023-04-03,361.8
O1038,P37,2023-08-25,206.75
O1039,P7,2023-09-14,471.49
O1040,P21,2023-05-31,67.63
O1041,P9,2023-12-23,238.08
O1042,P39,2023-05-16,485.41
O1043,P18,2023-03-09,296.59
O1044,P4,2023-02-08,240.56
O1045,P25,2023-11-22,305.83
O1046,P14,2023-01-18,309.17
O1047,P9,2023-12-23,379.24
O1048,P26,2023-06-30,107.46
O1049,P2,2023-07-17,162.51
O1050,P20,2023-02-19,311.24
O1051,P28,2023-02-08,440.2
O1052,P47,2023-11-18,302.84
O1053,P7,2023-07-09,157.37
O1054,P44,2023-08-02,355.93
O1055,P8,2023-04-23,382.96
O1056,P47,2023-07-22,157.21
O1057,P35,2023-06-22,219.98
O1058,P14,2023-08-11,290.45
O1059,P17,2023-07-28,273.45
O1060,P36,2023-11-30,225.33
O1061,P40,2023-04-29,183.94
O1062,P4,2023-07-24,94.99
O1063,P2,2023-07-04,74.07
O1064,P6,2023-07-13,481.34
O1065,P42,2023-02-18,431.21
O1066,P4,2023-12-18,209.71
O1067,P29,2023-06-20,480.56
O1068,P18,2023-08-07,354.55
O1069,P26,2023-03-20,267.13
O1070,P44,2023-11-29,271.86
O1071,P34,2023-06-11,87.48
